acontra+,PRIME: ACONTRA+ CINE ᴿᴬᵂ
Caza y Pesca HD,GO: CAZA Y PESCA ᴿᴬᵂ
Clan,GO: CLAN TVE ᴿᴬᵂ
Classica HD,GO: CLASSICA ᴿᴬᵂ
Comedy Central HD,GO: COMEDY CENTRAL ᴿᴬᵂ
Cuatro HD,GO: CUATRO ᴿᴬᵂ
DKISS,GO: DKISS ᴿᴬᵂ
DMAX,GO: DMAX ᴿᴬᵂ
Discovery,GO: DISCOVERY ᴿᴬᵂ
Disney Junior,GO: DISNEY JUNIOR ᴿᴬᵂ
Divinity,GO: DIVINITY ᴿᴬᵂ
Dreamworks HD,GO: DREAM WORK ᴿᴬᵂ
EITB Basque,GO: EITB BASQUE ᴿᴬᵂ
ETB1,GO: ETB 1 ᴿᴬᵂ
Garage TV,GO: EL GARAGE TV ᴿᴬᵂ
El Toro TV,GO: EL TORO TV ᴿᴬᵂ
Energy,GO: ENERGY ᴿᴬᵂ
EuroNews,GO: EURO NEWS ᴿᴬᵂ
France 24,GO: FRANCE24 (FR) ᴿᴬᵂ
MTV España,GO: MTV ᴿᴬᵂ
HBO Max Avances,GO: MAX AVANCES ᴿᴬᵂ
Mega,GO: MEGA ᴿᴬᵂ
Mezzo,GO: MEZZO ᴿᴬᵂ
Mezzo Live HD,GO: MEZZO LIVE ᴿᴬᵂ
Nick JR,GO: NICK JR ᴿᴬᵂ
Nat Geo Wild HD,GO: NAT GEO WILD ᴿᴬᵂ
National Geographic HD,GO: NATIONAL GEOGRAPHIC ᴿᴬᵂ
Navarra TV,GO: NAVARRA TV ᴿᴬᵂ
Negocios TV,GO: NEGOCIOS TV ᴿᴬᵂ
Neox,GO: NEOX ᴿᴬᵂ
Nickelodeon HD,GO: NICKELODEON ᴿᴬᵂ
Nova,GO: NOVA ᴿᴬᵂ
Squirrel 2,GO: PARAMOUNT NETWORK ᴿᴬᵂ
STAR Channel HD,GO: STAR CHANNEL ᴿᴬᵂ
SyFy HD,GO: SYFY ᴿᴬᵂ
SkyShowtime,GO: SKY SHOWTIME 1 ᴿᴬᵂ
TRECE,GO: TRECE ᴿᴬᵂ
TV Canaria,GO: TV CANARIA ᴿᴬᵂ
TV3,GO: TV3 ᴿᴬᵂ
TV3 Catalunya,GO: TV3 CAT ᴿᴬᵂ
TV5 Monde Europe HD,GO: TV5 MONDE ᴿᴬᵂ
TVG Europa HD,GO: TVG EUROPA ᴿᴬᵂ
Telecinco HD,GO: TELECINCO ᴿᴬᵂ
Teledeporte,GO: TELEDEPORTE ᴿᴬᵂ
Telemadrid,GO: TELEMADRID ᴿᴬᵂ
Telemadrid Internacional,GO: TELEMADRID INT. ᴿᴬᵂ
Ten,GO: TEN ᴿᴬᵂ
UBEAT,GO: UBEAT ᴿᴬᵂ
Warner TV HD,GO: WARNER TV ᴿᴬᵂ
À Punt,GO: À PUNT ᴿᴬᵂ
Veo7,GO: VEO 7 ᴿᴬᵂ
,#### ORANGE SPORTS ᴿᴬᵂ ####
M+ LaLiga HDR,GO: M+ LALIGA ᴴᴰᴿ ³⁸⁴⁰ᴾ
M+ LaLiga HDR,GO: M+ LALIGA TV ᴴᴰᴿ ³⁸⁴⁰ᴾ
M+ LaLiga 2 HD,GO: M+ LALIGA TV 2 ᴴᴰᴿ ³⁸⁴⁰ᴾ
DAZN LaLiga HD,GO: DAZN LA LIGA 1 ᴿᴬᵂ
DAZN LaLiga 2 HD,OR: DAZN LA LIGA 2 ᴿᴬᵂ
DAZN F1 HD,GO: DAZN F1 ᴿᴬᵂ
DAZN 1 HD,GO: DAZN 1 ᴿᴬᵂ
DAZN 2 HD,GO: DAZN 2 ᴿᴬᵂ
M+ LaLiga HD,GO: M+ LALIGA TV ᴿᴬᵂ
M+ LaLiga 2 HD,GO: M+ LALIGA TV 2 ᴿᴬᵂ
M+ LaLiga 3 HD,GO: M+ LALIGA TV 3 ᴿᴬᵂ
M+ LaLiga 4,GO: M+ LALIGA TV 4 ᴿᴬᵂ
LaLiga TV Hypermotion HD,GO: LIGA SMARTBANK 1 ᴿᴬᵂ
LaLiga TV Hypermotion 2,GO: LIGA SMARTBANK 2 ᴿᴬᵂ
LaLiga TV Hypermotion 3,GO: LIGA SMARTBANK 3 ᴿᴬᵂ
LaLiga TV Hypermotion HD,GO: LALIGATV HYPERMOTION ᴿᴬᵂ
LaLiga TV Hypermotion 2,GO: LALIGATV HYPERMOTION 2 ᴿᴬᵂ
LaLiga TV Hypermotion 3,GO: LALIGATV HYPERMOTION 3 ᴿᴬᵂ
M+ Liga de Campeones HD,GO: M+ LALIGA DE CAMPEONES 1 ᴿᴬᵂ
M+ Liga de Campeones 2 HD,GO: M+ LALIGA DE CAMPEONES 2 ᴿᴬᵂ
